Indicator,2020,2021,2022
Papua New GuineaDeaths,63.507,18.938,45.263
Papua New GuineaCases,35925.327,1726.68,2649.218
Papua New GuineaGDP,3823.194,3823.194,3823.194
ParaguayDeaths,6.535,2117.923,662.301
ParaguayCases,663.551,65261.12,30087.55
ParaguayGDP,8827.01,8827.01,8827.01
PeruDeaths,1557.263,4302.345,525.705
PeruCases,20364.579,51127.05,43551.002
PeruGDP,12236.706,12236.706,12236.706
PhilippinesDeaths,131.045,215.824,292.004
PhilippinesCases,17706.528,12482.37,18875.071
PhilippinesGDP,7599.188,7599.188,7599.188
PolandDeaths,40.445,1846.611,1029.122
PolandCases,988.704,71303.357,78356.654
PolandGDP,27216.445,27216.445,27216.445
PortugalDeaths,211.171,1510.579,532.677
PortugalCases,13121.97,85288.102,330442.531
PortugalGDP,27936.896,27936.896,27936.896
Puerto RicoDeaths,249.545,0,0
Puerto RicoCases,117132.978,0,0
Puerto RicoGDP,35044.67,35044.67,35044.67
QatarDeaths,56.021,166.208,28.938
QatarCases,38952.838,44126.987,52847.895
QatarGDP,116935.6,116935.6,116935.6
RomaniaDeaths,100.823,1643.561,1595.689
RomaniaCases,40205.559,53299.029,92661.987
RomaniaGDP,23313.199,23313.199,23313.199
RussiaDeaths,159.603,903.028,1574.55
RussiaCases,24635.413,34756.059,84490.175
RussiaGDP,24765.954,24765.954,24765.954
RwandaDeaths,86.508,41.982,63.669
RwandaCases,21844.334,3460.848,5870.923
RwandaGDP,1854.211,1854.211,1854.211
Saint LuciaDeaths,62.919,478.136,1567.801
Saint LuciaCases,20088.335,29787.873,102395.05
Saint LuciaGDP,12951.839,12951.839,12951.839
Saint Pierre and MiquelonDeaths,216.827,0,169.924
Saint Pierre and MiquelonCases,32726.41,4587.941,458963.471
Saint Pierre and MiquelonGDP,,,
Saint Vincent and the GrenadinesDeaths,0,115.428,904.195
Saint Vincent and the GrenadinesCases,85920.414,21267.994,74481.288
Saint Vincent and the GrenadinesGDP,10727.146,10727.146,10727.146
SamoaDeaths,48.095,48.095,89.934
SamoaCases,5348.263,4476.785,45896.85
SamoaGDP,6021.557,6021.557,6021.557
San MarinoDeaths,1287.129,1424.745,742.053
San MarinoCases,46956.079,129979.22,342297.422
San MarinoGDP,56861.47,56861.47,56861.47
Sao Tome and PrincipeDeaths,175.9,123.142,158.322
Sao Tome and PrincipeCases,150980.274,7286.95,15792.042
Sao Tome and PrincipeGDP,3052.714,3052.714,3052.714
Saudi ArabiaDeaths,67.08,166.474,33.768
Saudi ArabiaCases,6888.333,7959.91,7219.458
